Orthogroup	Orthogroup	Amaranthus_Cruentus	Amaranthus_hypochondriacus	Atriplex_hortensis_longest	Beta_patula.longest	Beta_vulgaris_longest	Cquinoa_QQ74_v2.A	Cquinoa_QQ74_v2.B	Haloxylon_ammodendron	Salicornia_bigelovii.pro.B	Salicornia_bigelovii.pro.D	Salicornia_europaea_France.pro.A	Salicornia_europaea_France.pro.C	Spinacia_oleracea	Spinacia_tetrandra	Spinacia_turkestanica	Suaeda_glauca.A	Suaeda_glauca.B	at	kau3287.l	kau3288.l	kin3565.l	kin4237.l	
OG0000204	OG0000204	2	6	13	5	5	7	6	11	3	1	3	4	11	12	17	19	15	4	4	3	4	4	
OG0000205	OG0000205	1	0	32	7	9	25	21	5	1	1	0	0	10	14	8	13	11	0	0	0	0	1	
OG0000206	OG0000206	0	0	35	1	3	6	25	20	5	8	3	3	7	10	4	2	1	0	6	7	7	6	
OG0000207	OG0000207	9	7	3	3	3	2	5	12	5	10	8	9	6	4	9	11	14	0	9	10	9	10	
OG0000208	OG0000208	0	0	151	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3	1	
OG0000209	OG0000209	9	11	9	8	8	6	5	9	5	6	6	6	6	6	3	11	14	4	5	7	7	6	
OG0000210	OG0000210	0	0	8	4	6	24	3	10	8	6	6	4	4	6	6	12	14	0	17	14	5	0	
OG0000211	OG0000211	3	6	14	6	7	9	21	15	3	4	5	3	6	8	3	11	5	9	5	5	4	4	
OG0000212	OG0000212	5	4	8	8	7	10	8	11	7	6	7	5	7	6	8	10	9	1	7	7	7	7	
OG0000213	OG0000213	0	0	3	1	1	4	3	34	10	14	9	4	8	6	7	15	14	0	4	10	2	6	
OG0000214	OG0000214	0	0	3	0	0	0	13	20	1	3	1	1	0	0	0	54	46	0	1	2	7	3	
OG0000215	OG0000215	0	7	11	4	6	8	7	8	6	6	7	5	7	9	8	10	13	5	6	6	8	6	
OG0000216	OG0000216	0	0	19	2	5	4	16	3	11	6	0	0	12	9	31	19	15	0	0	1	0	0	
OG0000217	OG0000217	0	0	16	1	0	6	9	19	4	11	2	5	14	2	15	18	11	0	6	1	5	6	
OG0000218	OG0000218	0	0	5	0	1	10	4	1	0	0	6	5	15	0	0	45	45	0	0	4	9	0	
OG0000219	OG0000219	2	0	0	0	0	0	1	0	32	29	14	12	0	6	5	0	0	0	2	6	18	22	
OG0000220	OG0000220	2	5	6	10	11	6	10	4	7	6	10	8	4	4	5	3	10	4	10	8	9	7	
OG0000221	OG0000221	1	2	2	0	0	1	7	4	2	3	8	2	78	5	0	7	10	0	1	3	4	9	
